[2024.09.07-04.11.33:722][164]Log file open, 09/07/24 06:11:33
[2024.09.07-04.16.30:875][718]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -7554.552649, -183130.084136, 36934.116303)
[2024.09.07-04.16.43:747][968]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -95211.585959, -107830.337033, 36949.811315)
[2024.09.07-04.16.47:452][ 46]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -41250.578046, -106869.949903, 36926.634091)
[2024.09.07-04.16.51:724][130]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -53068.092053, -118372.314966, 36947.172102)
[2024.09.07-04.16.51:884][133]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -117488.911943, -134596.214530, 36711.874987)
[2024.09.07-04.16.51:949][134]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -134586.913095, -120897.320326, 36712.794699)
[2024.09.07-04.16.56:458][211]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -29292.065992, -105045.574162, 36741.117368)
[2024.09.07-04.17.05:450][371]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -104315.555071, -127440.372879, 36614.677707)
[2024.09.07-04.17.12:392][490]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 92346.902965, -4402.241985, 11299.622101)
[2024.09.07-04.17.12:395][490]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 92430.666918, -4456.864325, 11297.266851)
[2024.09.07-04.17.12:406][490]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 92263.139011, -4347.619644, 11301.999403)
[2024.09.07-04.17.19:844][597]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -5125.547773, -179623.388516, 36752.402774)
[2024.09.07-04.17.35:335][832]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -87823.554609, -107558.722585, 36699.221160)
[2024.09.07-04.17.40:955][912]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -43616.786631, -117395.489188, 36927.420232)
